Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,CB Rank (Funding Round),component--field-formatter href 3,,link-accent 5,link-accent 7
Pre Seed Round - Flare Network,https://www.crunchbase.com/organization/flare-networks-417a,Flare Network,Pre-Seed,�,29-Jul-21,Seed,�,Yes,Flare is a powerful new layer 1 blockchain built for secure decentralized connectivity with other chains and real world data sources.,Blockchain,�,"$11,300,000 ",Seed,3,,1,"51,802",https://flare.xyz/,Dubai,Dubai,
Pre Seed Round - Agora,https://www.crunchbase.com/organization/agora-8274,Agora,Pre-Seed,�,1-Jan-18,Seed,�,Yes,Connecting international companies to Arab and African markets,,�,�,Seed,1,Abdo Achkar,1,"52,169",https://agoragroup.ae/,Fujairah,Fujairah,
Seed Round - Jingle Pay,https://www.crunchbase.com/organization/jingle-pay,Jingle Pay,Seed,�,17-Mar-21,Seed,�,Yes,Jingle Pay offers social payment solutions for individuals and businesses on mobile & desktop platforms.,Financial Services,�,�,Seed,3,,1,"53,188",http://jinglepay.com/,Dubai,Dubai,
Seed Round - FENIX,https://www.crunchbase.com/organization/fenix-9fbe,FENIX,Seed,�,9-Nov-21,Seed,�,Yes,Fenix is a UAE-based free floating micromobility operator anchored in the GCC region.,Last Mile Transportation,�,"$5,000,000 ",Seed,3,,1,"54,970",https://fenix.life/,Abu Dhabi,Abu Dhabi,
Venture Round - Vy Capital,https://www.crunchbase.com/organization/vy-capital,Vy Capital,Venture - Series Unknown,�,1-Jul-21,�,�,Yes,Vy Capital is an investment firm that focuses on the internet and software industry.,Enterprise Software,$1M to $10M,�,�,1,,1,"55,584",https://www.vycapital.com/,Dubai,Dubai,
Seed Round - Emirates HR,https://www.crunchbase.com/organization/emirates-hr-limited,Emirates HR,Seed,"$5,000,000 ",1-Mar-22,Seed,�,Yes,Emirates HR is an intuitive HR software solution specifically designed for the UAE and wider GCC region,Employee Benefits,�,"$14,500,000 ",Seed,5,,�,"56,105",http://www.emirateshr.com/,Dubai,Dubai,
Seed Round - Emirates HR,https://www.crunchbase.com/organization/emirates-hr-limited,Emirates HR,Seed,"$4,500,000 ",1-May-21,Seed,�,Yes,Emirates HR is an intuitive HR software solution specifically designed for the UAE and wider GCC region,Employee Benefits,�,"$14,500,000 ",Seed,5,,�,"56,113",http://www.emirateshr.com/,Dubai,Dubai,
Funding Round - Magpie Protocol,https://www.crunchbase.com/organization/magpie-protocol,Magpie Protocol,Funding Round,�,1-Sep-22,�,�,Yes,"Trading any tokens between any chains - without the need to bridge, is what makes Magpie your efficient app to navigate DeFi.",Cryptocurrency,�,"$3,000,000 ",�,2,,�,"56,188",https://www.magpiefi.xyz/,Dubai,Dubai,
Pre Seed Round - YallaMarket,https://www.crunchbase.com/organization/yalla-mart,YallaMarket,Pre-Seed,"$2,700,000 ",23-Nov-21,Seed,"$10,000,000 ",Yes,YallaMarket provides home delivery services to clients who order groceries and other essential needs.,E-Commerce,�,"$7,700,000 ",Seed,2,Dubai Angel Investors,2,"56,467",https://yallamarket.ae/,Dubai,Dubai,
Seed Round - DEFIYIELD App,https://www.crunchbase.com/organization/defiyield-app,DEFIYIELD App,Seed,�,21-Oct-21,Seed,�,Yes,DEFIYIELD is an asset management protocol.,Asset Management,�,�,�,4,,1,"57,323",http://www.defiyield.app/,Dubai,Dubai,
Seed Round - Ignite Chain,https://www.crunchbase.com/organization/ignite-chain,Ignite Chain,Seed,�,1-Jul-22,Seed,�,Yes,Ignite Chain is building a disruptive decentralized ecosystem by maximizing the use of latest technology in finance sector.,Blockchain,�,�,Seed,1,,�,"57,617",https://ignite.info/,Dubai,Dubai,
Pre Seed Round - Meem Connect Loyalty Card Services LLC,https://www.crunchbase.com/organization/meem-connect-loyalty-card-services-llc,Meem Connect Loyalty Card Services LLC,Pre-Seed,"$80,000 ",10-Feb-22,Seed,"$8,000,000 ",Yes,"Shopping is not all about spending anymore, introducing a global reward coin",Loyalty Programs,�,"$80,000 ",Seed,1,,�,"57,649",https://www.meemcoin.ae/,Dubai,Dubai,
Seed Round - GLT,https://www.crunchbase.com/organization/glt-c469,GLT,Seed,"$3,000,000 ",2-Jun-21,Seed,�,Yes,GLT provides an integrated suite of solutions merging the logistics and fintech spaces.,E-Commerce,�,"$15,000,000 ",Early Stage Venture,2,,�,"57,730",https://glt.co/#/home,Dubai,Dubai,
Venture Round - Lamsa,https://www.crunchbase.com/organization/lamsa,Lamsa,Venture - Series Unknown,"$500,000 ",1-Nov-13,�,�,Yes,Lamsa Kids World is a state of the art digital service tailored for children availing a world of creativity and imagination! Delivering,Apps,Less than $1M,"$1,000,000 ",�,3,,2,"58,270",https://website.lamsaworld.com/,Abu Dhabi,Abu Dhabi,
Seed Round - Klaim,https://www.crunchbase.com/organization/klaim,Klaim,Seed,"$1,000,000 ",16-Mar-21,Seed,�,Yes,Klaim is an InsureTech platform offering a SaaS medical claim management and financing platform all in one.,Financial Services,�,"$2,720,000 ",Seed,3,Techstars Hub71,2,"58,332",https://www.klaim.ai/,Dubai,Dubai,
Seed Round - Splashlight Studios,https://www.crunchbase.com/organization/splashlight-studios,Splashlight Studios,Seed,"$1,000,000 ",24-Nov-21,Seed,�,Yes,Splashlight Studios is a e-commerce content solutions provider operating from a state-of-the-art studio based in Dubai.,Content,�,"$1,000,000 ",Seed,1,Eagle Ventures,1,"58,838",https://splashlight-studios.com/,Dubai,Dubai,
Pre Seed Round - Eglote,https://www.crunchbase.com/organization/eglote,Eglote,Pre-Seed,�,10-Jul-22,Seed,"$4,000,000 ",Yes,B2B SaaS Eglote help businesses appear in search engine results (up to 100 countries/nationalities) on foreign&local markets.,Advice,�,�,Seed,1,,�,"59,124",https://eglote.com/,Abu Dhabi,Abu Dhabi,
Series A - DEFIYIELD App,https://www.crunchbase.com/organization/defiyield-app,DEFIYIELD App,Series A,�,5-Sep-21,Early Stage Venture,�,Yes,DEFIYIELD is an asset management protocol.,Asset Management,�,�,�,4,,1,"59,192",http://www.defiyield.app/,Dubai,Dubai,
Venture Round - Vault Hill,https://www.crunchbase.com/organization/vault-hill-limited,Vault Hill,Venture - Series Unknown,�,24-Dec-21,�,�,Yes,A human-centric metaverse designed to make you feel more human,Augmented Reality,�,"$2,100,000 ",�,3,,1,"59,634",https://vaulthill.io/,Dubai,Dubai,
Initial Coin Offering - Vault Hill,https://www.crunchbase.com/organization/vault-hill-limited,Vault Hill,Initial Coin Offering,�,10-Jan-22,�,�,Yes,A human-centric metaverse designed to make you feel more human,Augmented Reality,�,"$2,100,000 ",�,3,,1,"59,350",https://vaulthill.io/,Dubai,Dubai,
Series A - Metafluence,https://www.crunchbase.com/organization/metafluence,Metafluence,Series A,�,8-Jan-22,Early Stage Venture,�,Yes,Metafluence ecosystem enables influencers to monetize social power and creativity in the Metaverse.,Blockchain,�,�,Early Stage Venture,1,,1,"59,398",https://metafluence.io/,Dubai,Dubai,
Seed Round - Geeks,https://www.crunchbase.com/organization/geeks-2,Geeks,Seed,"$2,290,000 ",5-Mar-18,Seed,�,Yes,"Geeks is an on-demand business that connects the right Geek with businesses and consumers based on time, location, and skill set.",Consumer Goods,�,"$2,990,000 ",Early Stage Venture,3,,2,"60,300",https://www.geeks.ae/,Dubai,Dubai,
Seed Round - BulkWhiz,https://www.crunchbase.com/organization/bulkwhiz,BulkWhiz,Seed,�,20-Nov-17,Seed,�,Yes,BulkWhiz is the first ecommerce consumer platform for bulk grocery and home staples powered by next generation AI technology.,Artificial Intelligence,�,�,Early Stage Venture,3,Savour Ventures,3,"61,016",https://beta.bulkwhiz.com/,Dubai,Dubai,
Pre Seed Round - Teachive,https://www.crunchbase.com/organization/teachive,Teachive,Pre-Seed,"$250,000 ",10-Nov-21,Seed,"$1,695,000 ",Yes,Where Tech Matches Education: The New Generation of E/VR-Learning - SaaS,EdTech,�,"$250,000 ",Seed,1,,�,"61,246",https://teachive.io/,Dubai,Dubai,
Pre Seed Round - Xero Tech,https://www.crunchbase.com/organization/xero-tech,Xero Tech,Pre-Seed,"$200,000 ",11-Feb-22,Seed,"$2,000,000 ",Yes,We are developing ultimate XR metaverse platform and hardware products based on blockchain technology.,Information Technology,�,"$200,000 ",Seed,1,,�,"61,294",https://xerotech.io/,Dubai,Dubai,
Seed Round - MOTOR,https://www.crunchbase.com/organization/motor-share,MOTOR,Seed,"$200,000 ",1-May-22,Seed,�,Yes,"MOTOR is an aggregator and operator of SMART electric mobility services � Electric Cars, Electric motorbikes, Electric scooters and bicycles",Car Sharing,�,"$1,200,000 ",Seed,3,,�,"61,122",http://motorshare.me/,Dubai,Dubai,
Series C - The Tag Ventures,https://www.crunchbase.com/organization/the-tag-ventures,The Tag Ventures,Series C,"$250,000,000 ",19-Feb-21,Late Stage Venture,"$950,000,000 ",Yes,Tag Ventures aims to be the go-to facilitator for technology-driven companies across a wide range.,Consulting,�,"$250,750,000 ",Seed,3,,�,"61,726",https://www.thetagventures.com/,Dubai,Dubai,
Pre Seed Round - TIME CAPSULE L.L.C-FZ,https://www.crunchbase.com/organization/time-capsule-inc,TIME CAPSULE L.L.C-FZ,Pre-Seed,"$45,530 ",1-Jun-20,Seed,"$100,000 ",Yes,Time Capsule is an easy-to-use app for preserving your sweetest memories and brightest emotions.,Information Services,�,"$578,640 ",Seed,4,,�,"61,832",https://www.capstime.com/,Dubai,Dubai,
Secondary Market - TruKKer,https://www.crunchbase.com/organization/trukker,TruKKer,Secondary Market,�,1-Jun-21,�,�,No,TruKKer is a technology enabled truck aggregator that operates multiple truck types for multiple end markets in the Arab peninsula.,Freight Service,$1M to $10M,"$270,350,000 ",�,15,,1,"62,074",http://www.trukker.com/,Abu Dhabi,Abu Dhabi,
Pre Seed Round - The Tag Ventures,https://www.crunchbase.com/organization/the-tag-ventures,The Tag Ventures,Pre-Seed,"$500,000 ",3-May-22,Seed,"$3,000,000 ",Yes,Tag Ventures aims to be the go-to facilitator for technology-driven companies across a wide range.,Consulting,�,"$250,750,000 ",Seed,3,,�,"62,242",https://www.thetagventures.com/,Dubai,Dubai,
Seed Round - The Tag Ventures,https://www.crunchbase.com/organization/the-tag-ventures,The Tag Ventures,Seed,"$250,000 ",3-Jan-22,Seed,"$1,500,000 ",Yes,Tag Ventures aims to be the go-to facilitator for technology-driven companies across a wide range.,Consulting,�,"$250,750,000 ",Seed,3,,�,"62,280",https://www.thetagventures.com/,Dubai,Dubai,
Seed Round - LIDOMA VISION ESPORTS,https://www.crunchbase.com/organization/lidoma,LIDOMA VISION ESPORTS,Seed,"$1,000,000 ",20-Dec-20,Seed,�,Yes,"Lidoma is a gaming platform that brings communities together, organizes tournaments, and broadcasts online/offline gaming events.",eSports,�,"$1,000,000 ",Seed,1,,�,"62,481",https://lidoma.com/,Dubai,Dubai,
Series B - TruKKer,https://www.crunchbase.com/organization/trukker,TruKKer,Series B,�,1-Jul-21,Early Stage Venture,�,Yes,TruKKer is a technology enabled truck aggregator that operates multiple truck types for multiple end markets in the Arab peninsula.,Freight Service,$1M to $10M,"$270,350,000 ",�,15,,1,"62,649",http://www.trukker.com/,Abu Dhabi,Abu Dhabi,
Secondary Market - TruKKer,https://www.crunchbase.com/organization/trukker,TruKKer,Secondary Market,�,1-May-20,�,�,No,TruKKer is a technology enabled truck aggregator that operates multiple truck types for multiple end markets in the Arab peninsula.,Freight Service,$1M to $10M,"$270,350,000 ",�,15,Shorooq Partners,1,"62,682",http://www.trukker.com/,Abu Dhabi,Abu Dhabi,
Series A - NymCard,https://www.crunchbase.com/organization/nymcard,NymCard,Series A,�,1-Nov-21,Early Stage Venture,�,Yes,NymCard is a cloud-based issuer processor enabling financial institutions to build virtual and plastic card programs for their customers.,Banking,�,"$36,100,000 ",�,8,Shorooq Partners,1,"62,535",https://www.nymcard.com/,Abu Dhabi,Abu Dhabi,
Funding Round - MUNCH:ON,https://www.crunchbase.com/organization/lunch-on,MUNCH:ON,Funding Round,�,1-Nov-21,�,�,Yes,"Meals from the best restaurants at 50%+ discount & free delivery with MUNCH:ON Pro, enabled thru bundling, routing & scheduling technology",E-Commerce,$1M to $10M,"$9,762,263 ",M&A,5,,1,"62,585",https://uae.munchon.com/,Dubai,Dubai,
Pre Seed Round - Enegix Payments DMCC,https://www.crunchbase.com/organization/enegix-payments-dmcc,Enegix Payments DMCC,Pre-Seed,"$1,800,000 ",30-May-22,Seed,�,Yes,"FinTech, Payments, Crypto, Mobile App, Financial Services",Banking,�,"$1,800,000 ",Seed,1,,�,"62,641",https://enegix.io/,Dubai,Dubai,
Seed Round - NymCard,https://www.crunchbase.com/organization/nymcard,NymCard,Seed,�,1-Apr-20,Seed,�,Yes,NymCard is a cloud-based issuer processor enabling financial institutions to build virtual and plastic card programs for their customers.,Banking,�,"$36,100,000 ",�,8,Shorooq Partners,1,"62,656",https://www.nymcard.com/,Abu Dhabi,Abu Dhabi,
Seed Round - Housecall,https://www.crunchbase.com/organization/housecall-b8e8,Housecall,Seed,�,28-Jan-22,Seed,�,Yes,Housecall is a primary healthcare provider replacing the traditional doctor's office with virtual and in-person consultations at home.,Health Care,�,�,Seed,1,,�,"62,969",https://housecall.ae/,Abu Dhabi,Abu Dhabi,
Venture Round - AFS,https://www.crunchbase.com/organization/afs-a653,AFS,Venture - Series Unknown,"$98,000,000 ",10-Dec-21,�,�,Yes,"AFS provides card processing, merchant acquiring, online fraud monitoring and leading payment solutions to financial sectors.",Financial Services,$10M to $50M,"$98,000,000 ",�,1,,�,"62,983",https://afs.com.bh/,Manama,Ajman,
Pre Seed Round - Sterve,https://www.crunchbase.com/organization/sterve,Sterve,Pre-Seed,"$650,000 ",10-Jun-21,Seed,�,Yes,Sterve helps MSMEs efficiently run and grow their business with its integrated ecosystem of commerce & finance solution,Information Technology,�,"$650,000 ",Seed,1,,�,"64,105",https://sterve.shop/,Dubai,Dubai,
Angel Round - RSRVIT - Reserve It,https://www.crunchbase.com/organization/rsrvit-reserve-it,RSRVIT - Reserve It,Angel,"$200,000 ",1-Feb-21,Seed,�,Yes,Restaurant Reservations Platform,Hotel,�,"$200,000 ",Seed,1,,�,"64,257",https://rsrvit.com/,Dubai,Dubai,
Seed Round - Huspy,https://www.crunchbase.com/organization/huspy,Huspy,Seed,"$10,000,000 ",12-Apr-21,Seed,�,Yes,Huspy is a proptech company that simplifies the home financing process.,Financial Services,�,"$47,000,000 ",Early Stage Venture,3,VentureFriends,5,"64,412",https://www.huspy.com/,Dubai,Dubai,
Convertible Note - ZIWO,https://www.crunchbase.com/organization/aswat,ZIWO,Convertible Note,�,5-Dec-21,�,�,No,"B2B SAAS cloud business telephony and contact center for the Emerging Markets. API based, cloud agnostic with tons of integrations.",Cloud Computing,�,�,Early Stage Venture,2,,�,"64,737",https://www.ziwo.io/,Dubai,Dubai,
Seed Round - TIME CAPSULE L.L.C-FZ,https://www.crunchbase.com/organization/time-capsule-inc,TIME CAPSULE L.L.C-FZ,Seed,"$371,800 ",3-Jan-22,Seed,"$1,500,000 ",Yes,Time Capsule is an easy-to-use app for preserving your sweetest memories and brightest emotions.,Information Services,�,"$578,640 ",Seed,4,,�,"64,744",https://www.capstime.com/,Dubai,Dubai,
Seed Round - Jazp,https://www.crunchbase.com/organization/jazp,Jazp,Seed,"$1,631,321 ",1-Mar-18,Seed,"$8,000,000 ",Yes,"The fastest growing online shopping site in GCC with 5,00,000 + customers across UAE, Oman, Qatar, KSA, India.",E-Commerce,Less than $1M,"$1,631,321 ",Seed,1,Basheer K.P.,1,"65,413",https://www.jazp.com/,Deira,Dubai,
Convertible Note - souKare,https://www.crunchbase.com/organization/soukare,souKare,Convertible Note,"$1,300,000 ",1-Oct-21,�,�,No,"souKare is an online Pharmacy, Wellness and B2C health tech platform that focuses on instant health products' delivery and medical adherence",E-Commerce,�,"$2,800,000 ",Seed,3,,�,"65,804",https://soukare.com/,Dubai,Dubai,
Seed Round - Playbook,https://www.crunchbase.com/organization/playbook-3be1,Playbook,Seed,"$495,000 ",1-May-22,Seed,�,Yes,"SaaS, Mobile App, Internet, Marketplace",,�,"$745,000 ",Seed,2,,�,"65,950",https://www.theplaybookme.com/,Dubai,Dubai,
Pre Seed Round - Happy Day Delivery,https://www.crunchbase.com/organization/happy-day-delivery,Happy Day Delivery,Pre-Seed,"$54,495 ",17-Jan-22,Seed,"$10,000,000 ",Yes,Delivery company with big ambitious to connect all UAE businesses with consumers by smart app.,Delivery,�,"$1,081,495 ",Seed,5,,1,"66,369",https://www.hddelivery.ae/,Al Ajman,Ajman,
Pre Seed Round - Nabta Health,https://www.crunchbase.com/organization/nabta-health-corporation,Nabta Health,Pre-Seed,�,1-Apr-21,Seed,�,Yes,"Nabta Health discovers new ways for women to prevent, identify and manage Non-Communicable Diseases (NCDs).",Health Care,�,"$1,500,000 ",Seed,2,,1,"67,146",https://nabtahealth.com/,Sharjah,Sharjah,
Pre Seed Round - SkyStream,https://www.crunchbase.com/organization/skystream-3bfb,SkyStream,Pre-Seed,"$600,000 ",25-Jan-21,Seed,"$3,000,000 ",Yes,We create industrial drones and a service based on them. We provide logistics and monitoring services in ports.,Drones,�,"$600,000 ",Seed,1,,�,"67,305",https://www.skystream.space/,Dubai,Dubai,
Seed Round - VOLTS Battery,https://www.crunchbase.com/organization/llc-volts-battery,VOLTS Battery,Seed,"$1,000,000 ",18-May-22,Seed,�,Yes,Smart Energy solutions for houses and villas,Electronics,�,"$1,175,000 ",Seed,2,,�,"67,505",https://voltsbattery.com/,Abu Dhabi,Abu Dhabi,
Series A - Zbooni,https://www.crunchbase.com/organization/zbooni,Zbooni,Series A,"$4,500,000 ",28-Sep-21,Early Stage Venture,�,Yes,"Zbooni gives your customers the power to browse, and even buy your products directly through chat.",Apps,�,"$10,600,000 ",Early Stage Venture,5,March Holding,3,"68,007",https://zbooni.com/,Dubai,Dubai,
Pre Seed Round - Bluerizon,https://www.crunchbase.com/organization/bluerizon,Bluerizon,Pre-Seed,"$1,000,000 ",1-Jan-22,Seed,"$3,000,000 ",Yes,Bluerizon is a software and online data-science platform powering the intelligence layer of global markets to deliver actionable insights.,Analytics,�,"$1,000,000 ",Seed,1,Sequoia Capital,1,"68,208",,Dubai,Dubai,
Pre Seed Round - Happy Day Delivery,https://www.crunchbase.com/organization/happy-day-delivery,Happy Day Delivery,Pre-Seed,"$100,000 ",1-Aug-21,Seed,"$150,000 ",Yes,Delivery company with big ambitious to connect all UAE businesses with consumers by smart app.,Delivery,�,"$1,081,495 ",Seed,5,Abdullah Aljaberi,1,"68,614",https://www.hddelivery.ae/,Al Ajman,Ajman,
Venture Round - Dalma Capital,https://www.crunchbase.com/organization/dalma-capital-management-limited,Dalma Capital,Venture - Series Unknown,�,1-Jan-18,�,�,Yes,"Hedge fund manager, accelerator, pioneer in the institutionalization of crypto asset management, custody and investment banking",Asset Management,Less than $1M,�,�,1,,1,"69,309",https://www.dalmacapital.com/,Dubai,Dubai,
Seed Round - Lnddo,https://www.crunchbase.com/organization/lnddo,Lnddo,Seed,"$3,000,000 ",21-Nov-21,Seed,�,Yes,Digital Lending for SMEs,Commercial Lending,�,"$3,000,000 ",Seed,1,,�,"69,660",http://www.lnddo.com/,Abu Dhabi,Abu Dhabi,
Seed Round - Disrupt-X,https://www.crunchbase.com/organization/disrupt-x,Disrupt-X,Seed,"$750,000 ",10-Mar-21,Seed,�,Yes,Global IoT Platform Hosted Offering Cloud / On Premise Hosting gearing to have 200 Use-Cases Available for Smart Cities,Internet of Things,�,"$3,000,000 ",Seed,3,,�,"69,801",https://disrupt-x.io/,Dubai,Dubai,
Seed Round - Tabby,https://www.crunchbase.com/organization/tabby,Tabby,Seed,"$7,000,000 ",8-Jun-20,Seed,�,Yes,"Tabby is a payments and shopping app that creates financial freedom in the way people shop, earn and save.",Billing,$1M to $10M,"$336,000,000 ",Early Stage Venture,8,Raed Ventures,3,"69,789",http://www.tabby.ai/,Dubai,Dubai,
Series A - Tabby,https://www.crunchbase.com/organization/tabby,Tabby,Series A,"$23,000,000 ",8-Dec-20,Early Stage Venture,�,Yes,"Tabby is a payments and shopping app that creates financial freedom in the way people shop, earn and save.",Billing,$1M to $10M,"$336,000,000 ",Early Stage Venture,8,Arbor Ventures,14,"69,743",http://www.tabby.ai/,Dubai,Dubai,
Pre Seed Round - Happy Day Delivery,https://www.crunchbase.com/organization/happy-day-delivery,Happy Day Delivery,Pre-Seed,"$218,000 ",1-Mar-22,Seed,"$12,000,000 ",Yes,Delivery company with big ambitious to connect all UAE businesses with consumers by smart app.,Delivery,�,"$1,081,495 ",Seed,5,,�,"69,874",https://www.hddelivery.ae/,Al Ajman,Ajman,
Seed Round - INUI Gaming,https://www.crunchbase.com/organization/inui-gaming,INUI Gaming,Seed,"$6,000,000 ",5-Apr-22,Seed,"$10,000,000 ",Yes,"A cheater-free gaming platform with its own Community, Marketplace, Software Development Kit, Matchmaking & Anti-cheat and Cloud Gaming.",Computer,�,"$7,177,000 ",Seed,2,,�,"70,321",https://www.inuigaming.com/,Dubai,Dubai,
Seed Round - PureBorn,https://www.crunchbase.com/organization/pureborn,PureBorn,Seed,"$2,000,000 ",8-Dec-21,Seed,�,Yes,"PureBorn makes baby products that are organic, sustainable, and compostable with ingredients that ensure healthier alternatives to parents.",Baby,�,"$2,000,000 ",Seed,1,,�,"70,344",http://www.pureborn.com/,Dubai,Dubai,
Pre Seed Round - jalebi,https://www.crunchbase.com/organization/jalebi,jalebi,Pre-Seed,"$120,000 ",8-Nov-21,Seed,"$3,000,000 ",Yes,"jalebi is a Restaurant Operating System; purpose-built, with restaurant owners, to catalyze the growth of small to medium food businesses",Food and Beverage,�,"$340,000 ",Seed,2,Techstars,2,"70,470",http://www.jalebi.io/,Dubai,Dubai,
Corporate Round - The Leap Nation,https://www.crunchbase.com/organization/the-leap-nation,The Leap Nation,Corporate Round,�,17-Nov-21,�,�,Yes,"The Leap Nation creates virtual restaurants & gives customers creative, memorable and quality experiences with a scalable business model.",Food and Beverage,�,�,�,1,Kitopi,1,"70,678",https://www.theleapnation.com/,Dubai,Dubai,
Corporate Round - Right Bite,https://www.crunchbase.com/organization/right-bite,Right Bite,Corporate Round,�,17-Nov-21,�,�,Yes,The Right Bite Nutrition & Catering Services is a specialized centre for expert nutritional consultation & gourmet meal delivery service.,Food and Beverage,�,�,�,1,Kitopi,1,"70,617",https://rightbite.com/en-ae/home,Dubai,Dubai,
Corporate Round - Under500,https://www.crunchbase.com/organization/under500,Under500,Corporate Round,�,17-Nov-21,�,�,Yes,Under500 is a hotel chain based in Dubai that serves delicious food under 500 calories with global cuisines.,Food and Beverage,�,�,�,1,Kitopi,1,"70,595",http://under500.com/,Dubai,Dubai,
Series A - TruKKer,https://www.crunchbase.com/organization/trukker,TruKKer,Series A,"$23,000,000 ",12-Nov-19,Early Stage Venture,�,Yes,TruKKer is a technology enabled truck aggregator that operates multiple truck types for multiple end markets in the Arab peninsula.,Freight Service,$1M to $10M,"$270,350,000 ",�,15,STV,9,"71,010",http://www.trukker.com/,Abu Dhabi,Abu Dhabi,
Series B - Souqalmal,https://www.crunchbase.com/organization/souqalmal,Souqalmal,Series B,"$10,000,000 ",3-Oct-17,Early Stage Venture,�,Yes,"Souqalmal is the leading financial comparison site in the Middle East with operations in Saudi Arabia, Bahrain and the UAE.",Banking,$1M to $10M,"$11,500,000 ",M&A,7,Riyad TAQNIA Fund (RTF),7,"71,011",http://www.souqalmal.com/,Dubai,Dubai,
Series B - Property Finder,https://www.crunchbase.com/organization/propertyfinder,Property Finder,Series B,"$120,000,000 ",26-Nov-18,Early Stage Venture,"$380,000,000 ",Yes,Property Finder owns and operates real estate portals across the Middle East and North Africa.,Marketing,$50M to $100M,"$142,000,000 ",Early Stage Venture,3,General Atlantic,4,"71,397",https://www.propertyfinder.ae/,Dubai,Dubai,
Series D - Vezeeta,https://www.crunchbase.com/organization/vezeeta,Vezeeta,Series D,"$40,000,000 ",11-Feb-20,Late Stage Venture,�,Yes,Vezeeta is a digital healthcare booking platform and practice management software.,Health Care,$10M to $50M,"$71,498,880 ",Late Stage Venture,10,Gulf Capital,7,"71,520",https://www.vezeeta.com/,Dubai,Dubai,
Pre Seed Round - ToggleMarket,https://www.crunchbase.com/organization/togglemarket,ToggleMarket,Pre-Seed,"$200,000 ",7-Sep-19,Seed,�,Yes,B2B SaaS-enabled marketplaces and digital procurement platforms for cross border trade and commerce,B2B,�,"$905,000 ",Seed,3,,2,"71,494",https://togglemarket.com/,Dubai,Dubai,
Pre Seed Round - Hatom Labs,https://www.crunchbase.com/organization/hatom-labs,Hatom Labs,Pre-Seed,"$2,000,000 ",3-Mar-22,Seed,�,Yes,Decentralized lending protocol,Blockchain,�,"$2,000,000 ",Seed,1,,�,"71,982",https://www.hatom.com/,Dubai,Dubai,
Series B - Bayzat,https://www.crunchbase.com/organization/bayzat,Bayzat,Series B,"$16,000,000 ",21-Oct-19,Early Stage Venture,�,Yes,"Bayzat is a technology SaaS company that provides insurance, payroll, and human resources software solutions for businesses.",Employee Benefits,�,"$28,598,445 ",�,6,Mubadala Capital Ventures,5,"71,999",http://www.bayzat.com/,Dubai,Dubai,
Series B - Altibbi,https://www.crunchbase.com/organization/altibbi,Altibbi,Series B,"$6,500,000 ",2-Oct-17,Early Stage Venture,�,Yes,"Altibbi is the Largest Digital Health platform in the Arab World, including 1.5M pages of medical content and a 24/7 telehealth service.",Apps,�,"$52,500,000 ",Early Stage Venture,4,DASH Ventures,6,"72,656",http://www.altibbi.com/,Dubai,Dubai,
Series B - Eyewa,https://www.crunchbase.com/organization/eyewa,Eyewa,Series B,"$15,888,000 ",11-Mar-21,Early Stage Venture,�,Yes,"Eyewa offers prescription contact lenses, color contact lenses, sunglasses, and eyeglasses.",E-Commerce,�,"$27,138,000 ",Early Stage Venture,8,,1,"72,783",https://eyewa.com/,Dubai,Dubai,
Pre Seed Round - jalebi,https://www.crunchbase.com/organization/jalebi,jalebi,Pre-Seed,"$220,000 ",16-Feb-22,Seed,"$5,500,000 ",Yes,"jalebi is a Restaurant Operating System; purpose-built, with restaurant owners, to catalyze the growth of small to medium food businesses",Food and Beverage,�,"$340,000 ",Seed,2,,�,"72,971",http://www.jalebi.io/,Dubai,Dubai,
Convertible Note - Dukkantek,https://www.crunchbase.com/organization/dukkantek,Dukkantek,Convertible Note,�,30-Nov-21,�,�,No,Dukkantek is a technology startup that provides digital transformation services to improve business processes.,Business Development,�,"$15,200,000 ",Seed,3,,1,"73,073",http://www.dukkantek.com/,Dubai,Dubai,
Funding Round - 7tech,https://www.crunchbase.com/organization/7tech,7tech,Funding Round,"$1,200,000 ",13-Jul-21,�,"$12,000,000 ",Yes,b2b SaaS for smart-device financing and on-device marketing,B2B,�,"$4,300,000 ",�,5,,�,"73,320",https://7-technology.com/,Dubai,Dubai,
Seed Round - 7tech,https://www.crunchbase.com/organization/7tech,7tech,Seed,"$1,000,000 ",25-Mar-21,Seed,"$8,600,000 ",Yes,b2b SaaS for smart-device financing and on-device marketing,B2B,�,"$4,300,000 ",�,5,,�,"73,326",https://7-technology.com/,Dubai,Dubai,
Funding Round - 7tech,https://www.crunchbase.com/organization/7tech,7tech,Funding Round,"$100,000 ",30-May-20,�,"$1,500,000 ",Yes,b2b SaaS for smart-device financing and on-device marketing,B2B,�,"$4,300,000 ",�,5,,�,"73,330",https://7-technology.com/,Dubai,Dubai,
Angel Round - 7tech,https://www.crunchbase.com/organization/7tech,7tech,Angel,"$600,000 ",30-Jul-20,Seed,"$4,600,000 ",Yes,b2b SaaS for smart-device financing and on-device marketing,B2B,�,"$4,300,000 ",�,5,,�,"73,384",https://7-technology.com/,Dubai,Dubai,
